"source_settlement_raw","normalized_settlement","municipality","region","location_kind","is_ignored","ignore_reason","mapping_source","mapping_confidence","review_status","review_notes","updated_at"
"חוות יאיר","חוות יאיר","מועצה אזורית שומרון","שומרון","settlement","FALSE","","manual_research_2026_03_30","high","pending","חוות יאיר ישוב ביהודה ושומרון - מועצה אזורית שומרון","2026-03-30T12:00:00+03:00"
"חוות יד השומר","חוות יד השומר","מועצה אזורית גליל תחתון","גליל","settlement","FALSE","","manual_research_2026_03_30","high","pending","חוות השומר ליד אילניה - גליל תחתון (אזור כינרת) [תוקן: גליל תחתון->גליל]","2026-03-30T12:00:00+03:00"
"חוות ינון","חוות ינון","מועצה אזורית שומרון","שומרון","settlement","FALSE","","manual_research_2026_03_30","medium","pending","חווה בשומרון - על פי תבנית שמות חוות ביהודה ושומרון","2026-03-30T12:00:00+03:00"
"חוות מגדלים","חוות מגדלים","מועצה אזורית שומרון","שומרון","settlement","FALSE","","manual_research_2026_03_30","high","pending","חווה ליד מגדלים בשומרון - מועצה אזורית שומרון","2026-03-30T12:00:00+03:00"
"חוות מגנזי","חוות מגנזי","מועצה אזורית שומרון","שומרון","settlement","FALSE","","manual_research_2026_03_30","high","pending","חוות מגנזי ביהודה ושומרון - ליד ניל""י בבנימין/שומרון","2026-03-30T12:00:00+03:00"
"חוות מדבר חבר","חוות מדבר חבר","מועצה אזורית הר חברון","הר חברון","settlement","FALSE","","manual_research_2026_03_30","high","pending","חוות מדבר חבר דרומית למעלה חבר - הר חברון","2026-03-30T12:00:00+03:00"
"חוות מור ואברהם","חוות מור ואברהם","מועצה אזורית מטה בנימין","מטה בנימין","settlement","FALSE","","manual_research_2026_03_30","medium","pending","חווה בהרי בנימין - על פי תבנית שמות חוות ביהודה ושומרון [תוקן: מטה בנימין->שומרון]","2026-03-30T12:00:00+03:00"
"חוות מלאכי אברהם","חוות מלאכי אברהם","מועצה אזורית מטה בנימין","מטה בנימין","settlement","FALSE","","manual_research_2026_03_30","medium","pending","חווה בבנימין - ייתכן קשור למלאכי השלום במזרח בנימין [תוקן: מטה בנימין->שומרון]","2026-03-30T12:00:00+03:00"
"חוות מלכיאל","חוות מלכיאל","מועצה אזורית שומרון","שומרון","settlement","FALSE","","manual_research_2026_03_30","medium","pending","חווה בשומרון - על פי תבנית שמות חוות ביהודה ושומרון","2026-03-30T12:00:00+03:00"
"חוות מעלה אהוביה","חוות מעלה אהוביה","מועצה אזורית מטה בנימין","מטה בנימין","settlement","FALSE","","manual_research_2026_03_30","high","pending","מאחז מעלה אהוביה צפונית לרמאללה - הרי בנימין [תוקן: מטה בנימין->שומרון]","2026-03-30T12:00:00+03:00"
"חוות מקנה יהודה","חוות מקנה יהודה","מועצה אזורית הר חברון","הר חברון","settlement","FALSE","","manual_research_2026_03_30","medium","pending","חווה באזור הר חברון - על פי תבנית שמות חוות ביהודה ושומרון","2026-03-30T12:00:00+03:00"
"חוות מרום שמואל","חוות מרום שמואל","מועצה אזורית שומרון","שומרון","settlement","FALSE","","manual_research_2026_03_30","high","pending","חוות מרום שמואל מזרח שומרון - גבעה 666 ליד דותן","2026-03-30T12:00:00+03:00"
"חוות נווה צוף","חוות נווה צוף","מועצה אזורית מטה בנימין","מטה בנימין","settlement","FALSE","","manual_research_2026_03_30","high","pending","חווה בסמוך לנווה צוף (חלמיש) - מועצה אזורית מטה בנימין [תוקן: מטה בנימין->שומרון]","2026-03-30T12:00:00+03:00"
"חוות נוף אב""י","חוות נוף אב""י","מועצה אזורית מטה בנימין","מטה בנימין","settlement","FALSE","","manual_research_2026_03_30","medium","pending","חווה בהרי בנימין - מטה בנימין [תוקן: מטה בנימין->שומרון]","2026-03-30T12:00:00+03:00"
"חוות נחל שילה","חוות נחל שילה","מועצה אזורית שומרון","שומרון","settlement","FALSE","","manual_research_2026_03_30","high","pending","חוות נחל שילה בשומרון המרכזי","2026-03-30T12:00:00+03:00"
"חוות נחלת אבות","חוות נחלת אבות","מועצה אזורית שומרון","שומרון","settlement","FALSE","","manual_research_2026_03_30","medium","pending","חווה בשומרון - על פי תבנית שמות חוות ביהודה ושומרון","2026-03-30T12:00:00+03:00"
"חוות נחלת צבי","חוות נחלת צבי","מועצה אזורית מטה בנימין","מטה בנימין","settlement","FALSE","","manual_research_2026_03_30","medium","pending","נחלת צבי מאחז בבנימין - מועצה אזורית מטה בנימין [תוקן: מטה בנימין->שומרון]","2026-03-30T12:00:00+03:00"
"חוות עדן","חוות עדן","מועצה אזורית גוש עציון","ירושלים","settlement","FALSE","","manual_research_2026_03_30","high","pending","חוות עדן ליד נווה דניאל בגוש עציון - הר חברון [תוקן: גוש עציון->ירושלים]","2026-03-30T12:00:00+03:00"
"חוות עולם חסד","חוות עולם חסד","מועצה אזורית מטה בנימין","מטה בנימין","settlement","FALSE","","manual_research_2026_03_30","high","pending","חוות חסד עולם בבנימין - מועצה אזורית מטה בנימין [תוקן: מטה בנימין->שומרון]","2026-03-30T12:00:00+03:00"
"חוות עמיאל","חוות עמיאל","מועצה אזורית שומרון","שומרון","settlement","FALSE","","manual_research_2026_03_30","medium","pending","חווה בשומרון - על פי תבנית שמות חוות ביהודה ושומרון","2026-03-30T12:00:00+03:00"
"חוות פריאל","חוות פריאל","מועצה אזורית שומרון","שומרון","settlement","FALSE","","manual_research_2026_03_30","medium","pending","חווה בשומרון - על פי תבנית שמות חוות ביהודה ושומרון","2026-03-30T12:00:00+03:00"
"חוות צאן קדר","חוות צאן קדר","מועצה אזורית גוש עציון","ירושלים","settlement","FALSE","","manual_research_2026_03_30","high","pending","חוות צאן קדר בלב מדבר יהודה - גוש עציון - הר חברון [תוקן: גוש עציון->ירושלים]","2026-03-30T12:00:00+03:00"
"חוות צרידה","חוות צרידה","מועצה אזורית שומרון","שומרון","settlement","FALSE","","manual_research_2026_03_30","medium","pending","חווה בשומרון - על פי תבנית שמות חוות ביהודה ושומרון","2026-03-30T12:00:00+03:00"
"חוות קשואלה","חוות קשואלה","מועצה אזורית גוש עציון","ירושלים","settlement","FALSE","","manual_research_2026_03_30","high","pending","חוות קשואלה ביער האלה מדרום לגבעות - גוש עציון [תוקן: גוש עציון->ירושלים]","2026-03-30T12:00:00+03:00"
"חוות ראש תאנה","חוות ראש תאנה","מועצה אזורית שומרון","שומרון","settlement","FALSE","","manual_research_2026_03_30","medium","pending","חווה בשומרון - על פי שלום עכשיו ותבנית שמות חוות","2026-03-30T12:00:00+03:00"
"חוות שדה","חוות שדה","מועצה אזורית שומרון","שומרון","settlement","FALSE","","manual_research_2026_03_30","medium","pending","חווה בשומרון - על פי תבנית שמות חוות ביהודה ושומרון","2026-03-30T12:00:00+03:00"
"חוות שוביאל","חוות שוביאל","מועצה אזורית שומרון","שומרון","settlement","FALSE","","manual_research_2026_03_30","medium","pending","חוות שוביאל בשומרון - ייתכן קשור לישוב שובל-שומרון","2026-03-30T12:00:00+03:00"
"חוות שחרית","חוות שחרית","מועצה אזורית שומרון","שומרון","settlement","FALSE","","manual_research_2026_03_30","high","pending","חווה חקלאית ממנה צמחה שחרית בשומרון המערבי","2026-03-30T12:00:00+03:00"
"חוות תלם צפון","חוות תלם צפון","מועצה אזורית שומרון","שומרון","settlement","FALSE","","manual_research_2026_03_30","medium","pending","חווה בשומרון - על פי תבנית שמות חוות ביהודה ושומרון","2026-03-30T12:00:00+03:00"
"חומש","חומש","מועצה אזורית שומרון","שומרון","settlement","FALSE","","manual_research_2026_03_30","high","pending","חומש ישוב בהר חומש צפון שומרון - מועצה אזורית שומרון","2026-03-30T12:00:00+03:00"
"חוף זיקים","חוף זיקים","מועצה אזורית חוף אשקלון","עוטף עזה","settlement","FALSE","","manual_research_2026_03_30","high","pending","חוף זיקים בחוף אשקלון - עוטף עזה","2026-03-30T12:00:00+03:00"
"חמדת ימים","חמדת ימים","מועצה אזורית עמק חפר","שרון","settlement","FALSE","","manual_research_2026_03_30","high","pending","ישוב חמדת ימים בחוף השרון - עמק חפר","2026-03-30T12:00:00+03:00"
"חרמש דרום","חרמש דרום","מועצה אזורית אלונה","שרון","settlement","FALSE","","manual_research_2026_03_30","high","pending","חרמש דרום ישוב חקלאי ליד חרמש - שרון","2026-03-30T12:00:00+03:00"
"טייבה בגלבוע","טייבה בגלבוע","מועצה אזורית הגלבוע","גלבוע","settlement","FALSE","","manual_research_2026_03_30","high","pending","טייבה (בגלבוע) כפר ערבי - גלבוע","2026-03-30T12:00:00+03:00"
"טל מנשה","טל מנשה","מועצה אזורית מנשה","שרון","settlement","FALSE","","manual_research_2026_03_30","high","pending","מושב טל מנשה במועצה אזורית מנשה - שרון","2026-03-30T12:00:00+03:00"
"טמרה בגלבוע","טמרה בגלבוע","מועצה אזורית הגלבוע","גלבוע","settlement","FALSE","","manual_research_2026_03_30","high","pending","טמרה (בגלבוע) כפר ערבי - גלבוע","2026-03-30T12:00:00+03:00"
"יבוא דודי","יבוא דודי","מועצה אזורית מטה בנימין","מטה בנימין","settlement","FALSE","","manual_research_2026_03_30","medium","pending","יבוא דודי מאחז בבנימין - על פי שלום עכשיו ותבנית [תוקן: מטה בנימין->שומרון]","2026-03-30T12:00:00+03:00"
"יקנעם המושבה והזורע","יקנעם המושבה והזורע","מועצה אזורית מגידו","עמקים","settlement","FALSE","","manual_research_2026_03_30","high","pending","יקנעם המושבה וקיבוץ הזורע - עמק יזרעאל","2026-03-30T12:00:00+03:00"
"ישובי אומן","ישובי אומן","מועצה אזורית שומרון","שומרון","settlement","FALSE","","manual_research_2026_03_30","medium","pending","ישובים בשומרון - אומן ישוב בשומרון","2026-03-30T12:00:00+03:00"
"ישובי יעל","ישובי יעל","מועצה אזורית גלבוע","גלבוע","settlement","FALSE","","manual_research_2026_03_30","medium","pending","ישובי יעל - ישובים בגלבוע","2026-03-30T12:00:00+03:00"
"כורזים ורד הגליל","כורזים ורד הגליל","מועצה אזורית מבואות החרמון","גליל עליון","settlement","FALSE","","manual_research_2026_03_30","high","pending","כורזים ווירד הגליל ברמת כורזים - גליל עליון","2026-03-30T12:00:00+03:00"
"כינרת מושבה","כינרת מושבה","מועצה אזורית עמק הירדן","עמקים","settlement","FALSE","","manual_research_2026_03_30","high","pending","כינרת מושבה על שפת הכינרת הדרומית [תוקן: עמק הירדן->עמקים]","2026-03-30T12:00:00+03:00"
"כינרת קבוצה","כינרת קבוצה","מועצה אזורית עמק הירדן","עמקים","settlement","FALSE","","manual_research_2026_03_30","high","pending","קבוצת כינרת על שפת הכינרת הדרומית [תוקן: עמק הירדן->עמקים]","2026-03-30T12:00:00+03:00"
"כעביה טבאש","כעביה טבאש","מועצה אזורית גליל תחתון","גליל","settlement","FALSE","","manual_research_2026_03_30","high","pending","כעביה טבאש כפר ערבי בגליל התחתון","2026-03-30T12:00:00+03:00"
"כפר אלדד","כפר אלדד","מועצה אזורית גוש עציון","ירושלים","settlement","FALSE","","manual_research_2026_03_30","high","pending","כפר אלדד בגוש עציון - הר חברון [תוקן: גוש עציון->ירושלים]","2026-03-30T12:00:00+03:00"
"כפר גמילה מלכישוע","כפר גמילה מלכישוע","מועצה אזורית הגלבוע","גלבוע","settlement","FALSE","","manual_research_2026_03_30","high","pending","כפר גמילה ומלכישוע במועצה אזורית הגלבוע - גלבוע","2026-03-30T12:00:00+03:00"
"כפר ח'וואלד","כפר ח'וואלד","מועצה אזורית זבולון","חיפה","settlement","FALSE","","manual_research_2026_03_30","high","pending","כפר ח'וואלד כפר ערבי במחוז חיפה - אזור חיפה","2026-03-30T12:00:00+03:00"
